S/NO.,gage_id,gage_desc,gage_brand,gage_rance,gage_slno,gage_calib_metho,tolerance,calib_date,calib_interval,calb_interval_unit,calib_due_date,clib_agency,calib_cert_no,gage_location,remarks,comments,master_gage_slno,master_gage_cert_no,master_gage_valid_date,temp1,temp2
,A-201,"PNEUTORQUES PTM-52, 3/4"" SQDR",NORBAR,MAX 4000 N.m,2014F10066,BS EN ISO 6789-1:2017,"MANUAL TORQUE WRENCH : >10 N.M ± 4%, <10 N.M ± 6% OR MANUFACTURER SPECIFICATION

HYDRAULIC TORQUE WRENCH: ± 5% OR MANUFACTURER SPECIFICATION

TORQUE UNIT PRESSURE GAUGE: ± 1% OF FULL- SCALE VALUE OR MANUFACTIRER SPECIFICATION",###############################################################################################################################################################################################################################################################,1,Years,,,,TEST BUNKER AREA 3 L3,SCRAPPED,,,,,2022-11-15,###############################################################################################################################################################################################################################################################
90,DV-004,VERNIER DEPTH GAUGE,MITUTOYO," 0"" - 24""",700861,MCDP-08:2020,BS 6365 OR PER MANUFACTURER SPEC,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-16,QC BAY C CABINET 1 L4,FALSE,,,,,2022-11-15,2022-09-30
91,FS-025,"PLUG GAUGE:3-1/8"" - 4 STUB ACME - 2G (GO & NO GO)",,#N/A,95111,,"± 0.001""",2020-11-02,1,Years,2021-11-02,,,M/S GAUGE ROOM D7 & D8,HOLD,,,,,2022-11-15,2021-10-19
92,FS-044,PRESSURE TEST GAUGE,STEWARDS,"0 - 10,000 PSI",-,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 0.5%,2022-08-08,3,Months,2022-11-08,TRESCAL,SALPR/060/2/22,QC GAUGE ROOM OUTSIDE,FALSE,,3789410 (DPI 104),SALPR/0113/3/22,08.02.2023,2022-11-15,2022-10-25
93,FS-046,PRESSURE TEST GAUGE,STEWARDS,"0 - 10,000 PSI",-,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 0.5%,2022-08-08,3,Months,2022-11-08,TRESCAL,SALPR/060/1/22,GAUGE ROOM OUTSIDE,FALSE,,3789410 (DPI 104),SALPR/0113/3/22,02.02.2023,2022-11-15,2022-10-25
94,FS-057,CHART RECORDER,TECHCAL,"0 - 10,000 PSI",04231,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-06-06,1,Years,2023-06-06,TRESCAL,SALPR/0409/7/22,TEST BUNKER AREA 3 L2,TRUE,,3534923 (DPI 104),SALPR/0113/6/22,08.02.2023,2022-11-15,2023-05-23
95,M-0017,DEPTH MICROMETER,MITUTOYO,"0"" - 12""",010724,QCD/TRSG/PROCEDURE 007 / TRSG/QM/001/20,BS 6468 OR PER MANUFACTURER SPEC,2021-12-27,1,Years,2022-12-27,TRESCAL,SALDM/2184/7/21,Machine Shop (HBMB3),TRUE,,,,,2022-11-15,2022-12-13
96,M-0026,STICK MICROMETER,MITUTOYO,"2"" - 40""",0003243,QCD/TRSG/PROCEDURE 006 / TRSG/QM/001/20,BS 959 OR PER MANUFACTURER SPEC,2021-12-24,1,Years,2022-12-24,TRESCAL,SALDM/2184/1/21,Machine Shop (FTB1),TRUE,,,,,2022-11-15,2022-12-10
97,M-0032,DIGIMATIC DEPTH GAUGE,MITUTOYO,"0"" - 12""",0017244,MCDP-08:2020,BS 6365 OR PER MANUFACTURER SPEC,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-11,QC GAUGE ROOM - B,FALSE,,,,,2022-11-15,2022-09-30
98,M-0035,BORE GAUGE C/W DIAL INDICATOR,MITUTOYO,1.4'' - 2.5'',2168832 / RDV 223,MCDP-25:2020,JIS B 7515 / BS 907 (BORE GAUGE) & ASME B89.1.10M (DIAL) OR PER MANUFACTURER SPEC,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-12,M/S GAUGE ROOM F4,FALSE,,,,,2022-11-15,2022-09-30
99,M-0036,BORE GAUGE C/W DIAL INDICATOR,MITUTOYO,"1.4'' - 2.5'' (BORE) / 0 - 0.5"" (DIAL)",2188741 / RMT 083,"QCD/TRSG/PROCEDURE 013, PROCEDURE 011 / TRSG/QM/001/20",JIS B 7515 / BS 907 (BORE GAUGE) & ASME B89.1.10M (DIAL) OR PER MANUFACTURER SPEC,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/11/22,QC BAY C TROLLY 1 L4,TRUE,,"100272 (170-102)
1471/03 (OPTIMAR 100)","SALDM/0002/1/21
MDF220279-1","06.01.2023
25.07.2023",2022-11-15,2023-08-19
100,M-0037,BORE GAUGE C/W DIAL INDICATOR,MITUTOYO,"2"" - 6""",2178646 / RGF 979,MCDP-25:2020,JIS B 7515 / BS 907 (BORE GAUGE) & ASME B89.1.10M (DIAL) OR PER MANUFACTURER SPEC,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-13,M/S GAUGE ROOM F4,FALSE,,,,,2022-11-15,2022-09-30
101,M-0038,BORE GAUGE C/W DIAL INDICATOR,MITUTOYO,"2"" - 6"" (BORE) / 0 - 0.5"" (DIAL)",2178695 / RGF 997,"QCD/TRSG/PROCEDURE 013, PROCEDURE 011 / TRSG/QM/001/20",JIS B 7515 / BS 907 (BORE GAUGE) & ASME B89.1.10M (DIAL) OR PER MANUFACTURER SPEC,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/12/22,QC BAY C TROLLY 1 L4,TRUE,,"100272 (170-102)
1471/03 (OPTIMAR 100)","SALDM/0002/1/21
MDF220279-1","06.01.2023
25.07.2023",2022-11-15,2023-08-19
102,M-0039,DIAL DEPTH GAUGE,MITUTOYO,"0"" - 1""",001054,MDCP-53,BS 6365 OR PER MANUFACTURER SPEC,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-14,QC BAY C TROLLY 1 L6,FALSE,,,,,2022-11-15,2022-09-30
103,M-0041,DIAL DEPTH GAUGE,MITUTOYO,"0"" - 8""",001060,MDCP-53,BS 6365 OR PER MANUFACTURER SPEC,2021-12-16,1,Years,2022-12-16,Ming Deng,MDL213871-2,M/S GAUGE ROOM B3,TRUE,,,,,2022-11-15,2022-12-02
104,M-0055,"DIAL GAUGE 
Ball Gage : BX-1000",GAGE MAKER,"0"" - 0.25""",RQC755,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M OR PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/10/22,M/S GAUGE ROOM E2,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,25.07.2022,2022-11-15,2023-04-16
105,M-0056,"DIAL GAUGE 
Ball Gage : BX-1000",GAGE MAKER,"0"" - 0.25""",RQC765,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M OR PER MANUFACTURER SPECIFICATION,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/9/22,QC GAUGE ROOM - J,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,25.07.2022,2022-11-15,2023-08-19
106,M-0057,"DIAL GAUGE 
Ball Gage : BX-1000",GAGE MAKER,"0"" - 0.25""","VNM451
(B131117)",MANUNFACTURER SPECIFICATION,"BALL DIAMETER TOLERANCE +0.0002""
CENTRELINE TO BASE TOLERANCE +0.0002""
PARALLESLISM OF BASE AND CENTRELINE OF 0.500""
DIAMETER HOLE MUST NOT EXCEED 0.0002""",2021-10-14,1,Years,2022-10-14,Ming Deng,MDL203182-2,M/S GAUGE ROOM E4,FALSE,,,,,2022-11-15,2022-09-30
107,M-0058,"GROOVE WIDTH GAUGE
(DIAL GAUGE)
Ball Gage : BXG-1000",GAGE MAKER,"0"" - 0.25""",RQC800,MANUNFACTURER SPECIFICATION,"BALL DIAMETER TOLERANCE +0.0002""
CENTRELINE TO BASE TOLERANCE +0.0002""
PARALLESLISM OF BASE AND CENTRELINE OF 0.500""
DIAMETER HOLE MUST NOT EXCEED 0.0002""",2022-07-15,1,Years,2023-07-15,TRESCAL,SALDM/1087/7/22,QC BAY C TROLLY 2 L1,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-07-01
108,M-0059,"DIAL GAUGE 
Ball Gage : BXG-1000",GAGE MAKER,"0"" - 0.25""",UQE681,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/21/22,QC GAUGE ROOM OUT SIDE,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-04-16
109,M-0061,"DIAL GAUGE 
Ball Gage : BXG-1000",GAGE MAKER,"0"" - 0.25""",VNM498,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M OR PER MANUFACTURER SPECIFICATION,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/4/22,M/S GAUGE ROOM E3,TRUE,,1471/03 (OPTIMAR 100),MDF220279-1,25.07.2023,2022-11-15,2023-08-19
110,M-0062,"GROOVE WIDTH GAUGE
(DIAL GAUGE)
Ball Gage : BXG-1000",GAGE MAKER,"0"" - 0.25""",UQE692,MANUNFACTURER SPECIFICATION,"BALL DIAMETER TOLERANCE +0.0002""
CENTRELINE TO BASE TOLERANCE +0.0002""
PARALLESLISM OF BASE AND CENTRELINE OF 0.500""
DIAMETER HOLE MUST NOT EXCEED 0.0002""",2022-07-15,1,Years,2023-07-15,TRESCAL,SALDM/1087/8/22,M/S GAUGE ROOM E1,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-07-01
111,M-0077,GROOVE MICROMETER,MITUTOYO,"0"" - 1""",21982,MDCP-01:2020,BS 870 OR PER MANUFACTURER SPEC,2021-12-16,1,Years,2022-12-16,Ming Deng,MDL213387-4,QC GAUGE ROOM - I,TRUE,,,,,2022-11-15,2022-12-02
112,M-0081,"DIGIMATIC HOLTEST 
(3 POINT INTERNAL MICROMETER)",BOWERS,"0.75'' - 2.00""",26542 C/W R08916/R06534/R09264,MDCP-23:2020,DIN 863-4 OR PER MANUFACTURER SPEC,2021-12-28,1,Years,2022-12-28,Ming Deng,MDL214089-1,M/S GAUGE ROOM K4,TRUE,,,,,2022-11-15,2022-12-14
113,M-0081A,RING GAUGE,BOWERS,1.37487,331997,MDCP-13:2020,DIN 863-4 OR PER MANUFACTURER SPEC,2021-12-28,1,Years,2022-12-28,Ming Deng,MDL214089-2,M/S GAUGE ROOM K4,TRUE,,,,,2022-11-15,2022-12-14
114,M-0081B,RING GAUGE,BOWERS,0.75041,333713,MDCP-13:2020,DIN 863-4 OR PER MANUFACTURER SPEC,2021-12-28,1,Years,2022-12-28,Ming Deng,MDL214089-3,M/S GAUGE ROOM K4,TRUE,,,,,2022-11-15,2022-12-14
115,M-0084 & M-0084A,"PLUG GAUGE:3"" - 4 STUB ACME -2G (GO & NOGO)",,#N/A,-,,"± 0.001""",2020-12-29,1,Years,2021-12-29,,,M/S GAUGE ROOM D9 & D10,HOLD,,,,,2022-11-15,2021-12-15
116,M-0087,BEVEL PROTRACTOR,MITUTOYO,0° - 360°,135614,QCD/TRSG/PROCEDURE 015 / TRSG/QM/001/20 / BS 1685:2008,"
BS 1685 / PER MANUFACTURER SPECIFICATION",2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/37/22,M/S GAUGE ROOM B1,TRUE,,"AMNW24
000211509","SALDM/00367/22
SALDM/0624/1/22","05.01.2023
19.04.2023",2022-11-15,2023-04-16
117,M-0088,"Digital Depth Gauge - 0"" - 8""",,#N/A,0000196,,,2021-01-27,1,Years,2022-01-27,,,QC GAUGE ROOM OUT SIDE,HOLD,,,,,2022-11-15,2022-01-13
118,M-0091,DIGIMATIC DEPTH GAUGE,MITUTOYO,"0"" - 12""",0018041,QCD/TRSG/PROCEDURE 021 / TRSG/QM/001/20 / BS EN ISO 13385-2:2011,"±0.0015"" / 
BS 6365 / PER MANUFACTURER SPECIFICATION",2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/17/22,QC GAUGE ROOM OUT SIDE,TRUE,,"1306618
18640","516-712-16
E81","24.11.2022
11.08.2023",2022-11-15,2023-04-16
119,M-0092,DIGITAL DEPTH MICROMETER,MITUTOYO,"0"" - 12""",312401,MDCP-03:2020,BS 6468 OR PER MANUFACTURER SPEC,2021-12-29,1,Years,2022-12-29,Ming Deng,MDL214087-4,QC GAUGE ROOM - J,TRUE,,,,,2022-11-15,2022-12-15
120,M-0093,DIGITAL DEPTH MICROMETER,MITUTOYO,"0"" - 12""",311656,QCD/TRSG/PROCEDURE 007 / TRSG/QM/001/20,BS 6468 OR PER MANUFACTURER SPEC,2021-12-27,1,Years,2022-12-27,TRESCAL,SALDM/2184/78/21,Machine Shop (FTB1),TRUE,,,,,2022-11-15,2022-12-13
121,M-0101,DIGITAL VERNIER CALIPER,MITUTOYO,"0"" - 24""",0040308,MDCP-02:2020,JIS B 7507 / BS 887 OR PER MANUFACTURER SPEC,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-1,M/S GAUGE ROOM I6,FALSE,,,,,2022-11-15,2022-09-30
122,M-0112,DIAL TEST INDICATOR,MITUTOYO,"0"" - 0.03""",RTZ307,QCD/TRSG/PROCEDURE 012 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M-2001 / PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/20/22,M/S GAUGE ROOM,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-04-16
123,M-0113,DIAL TEST INDICATOR,MITUTOYO,0'' - 0.03'',RTZ274,MDCP-10:2020,BS 907 / ASME B89.1.10M OR PER MANUFACTURER SPEC,2021-12-29,1,Years,2022-12-29,Ming Deng,MDL214087-2,M/S GAUGE ROOM J4,TRUE,,,,,2022-11-15,2022-12-15
124,M-0116,EXTERNAL MICROMETER,MITUTOYO,"12"" - 18""",31006262,QCD/TRSG/PROCEDURE 005/ TRSG/QM/001/20 / ISO 3611:2010,ISO 3611 / BS 870 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/29/22,M/S GAUGE ROOM M10,TRUE,,"1306618
18640
T22349
309673","14489
SALDM/1010/2/21
SALDM/2107/2/21
SALDM/0036/13/22","24.11.2022
11.08.2023
17.12.2022
07.01.2023",2022-11-15,2023-04-16
125,M-0117,EXTERNAL MICROMETER,MITUTOYO,"18"" - 24""",31007843,QCD/TRSG/PROCEDURE 005/ TRSG/QM/001/20 / ISO 3611:2010,ISO 3611 / BS 870 OR PER MANUFACTURER SPEC,2022-05-29,1,Years,2023-05-29,TRESCAL,SALDM/0826/7/22,M/S GAUGE ROOM G1,TRUE,,"1306618
18640
T22349
309673","14489
SALDM/1010/2/21
SALDM/2107/2/21
SALDM/0036/13/22","24.11.2022
11.08.2023
17.12.2022
07.01.2023",2022-11-15,2023-05-15
126,M-0118,STICK MICROMETER,MITUTOYO,"ID 2"" - 20""",3005510,QCD/TRSG/PROCEDURE 006 / TRSG/QM/001/20 / BS 959 : 2008,BS 959 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/35/22,QC GAUGE ROOM OUT SIDE,TRUE,,"1306618
18640
T22349
309673","14489
SALDM/1010/2/21
SALDM/2107/2/21
SALDM/0036/13/22","24.11.2022
11.08.2023
17.12.2022
07.01.2023",2022-11-15,2023-04-16
127,M-0119,STICK MICROMETER,MITUTOYO,"ID 2"" - 20""",3000505,QCD/TRSG/PROCEDURE 006 / TRSG/QM/001/20 / BS 959 : 2008,BS 959 OR PER MANUFACTURER SPEC,2022-05-04,1,Years,2023-05-04,TRESCAL,SALDM/0699/6/22,Machine Shop (VTCB3),TRUE,,"1306618
18640
T22349
309673","14489
SALDM/1010/2/21
SALDM/2107/2/21
SALDM/0036/13/22","24.11.2022
11.08.2023
17.12.2022
07.01.2023",2022-11-15,2023-04-20
128,M-0120,STICK MICROMETER,MITUTOYO,"ID 2"" - 20""",3005534,QCD/TRSG/PROCEDURE 006 / TRSG/QM/001/20 / BS 959 : 2008,BS 959 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/23/22,QC GAUGE ROOM OUT SIDE,SCRAPPED,,"1306618
18640
T22349
309673","14489
SALDM/1010/2/21
SALDM/2107/2/21
SALDM/0036/13/22","24.11.2022
11.08.2023
17.12.2022
07.01.2023",2022-11-15,2023-04-16
129,M-0126,STICK MICROMETER,MITUTOYO," ID 2"" - 60""",3006482,QCD/TRSG/PROCEDURE 006 / TRSG/QM/001/20 / BS 959 : 2008,BS 959 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/32/22,QC BAY C TROLLY 1 L6,TRUE,,"1306618
18640
309673
AMNW24","14489
SALDM/1010/2/21
SALDM/0036/13/22
SALDM/0036/7/22","24.11.2022
11.08.2023
07.01.2023
05.11.2023",2022-11-15,2023-04-16
130,M-0127,STICK MICROMETER,MITUTOYO," ID 2"" - 60""",3006466,QCD/TRSG/PROCEDURE 006 / TRSG/QM/001/20 / BS 959 : 2008,BS 959 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/33/22,QC GAUGE ROOM OUT SIDE,TRUE,,"1306618
18640
309673
AMNW24","14489
SALDM/1010/2/21
SALDM/0036/13/22
SALDM/0036/7/22","24.11.2022
11.08.2023
07.01.2023
05.11.2023",2022-11-15,2023-04-16
131,M-0128,"DIGIMATIC HOLTEST (2 ANVILS)
3 Point Internal Micrometer",BOWERS,"0.250"" - 0.375""",04670 (H) C/W R29119 / T13316 (A),QCD/TRSG/SEAMS 0007 / TRSG/QM/001/20,"±0.0015""",2022-05-21,1,Years,2023-05-21,TRESCAL,SALDM/0784/98/22,QC GAUGE ROOM OUT SIDE,TRUE,,RGSET/001`081,SALDM/1043/1/21 & SADLM/1043/2/21,06.08.2023,2022-11-15,2023-05-07
132,M-0128A,"RING GAUGE 
(3 Point Internal Micrometer - Setting Ring) ",BOWERS,0.31275,338339,QCD/TRSG/PROCEDURE 002 / TRSG/QM/001/20,"±0.0015""",2022-05-21,1,Years,2023-05-21,TRESCAL,SALDM/0784/2/22,M/S GAUGE ROOM K1,TRUE,,"0101 (600.2)
1146","SALDM/1074/3/21
01137-0122-00536-CMDD","12.08.2023
26.01.2023",2022-11-15,2023-05-07
133,M-0130,"DIGIMATIC HOLTEST (3 ANVILS)
3 Point Internal Micrometer",BOWERS,"0.375"" - 0.750""",15127 (H) C/W W24591/R29957/R31653,QCD/TRSG/SEAMS 0007 / TRSG/QM/001/20,"±0.0015""",2022-07-15,1,Years,2023-07-15,TRESCAL,SALDM/1087/3/22,QC GAUGE ROOM - J,TRUE,,RGSET/001`081,SALDM/1043/1/21 & SADLM/1043/2/21,06.08.2023,2022-11-15,2023-07-01
134,M-0130A,"SETTING RING
3 Point Internal Micrometer",BOWERS,0.49998,338298,QCD/TRSG/PROCEDURE 002 / TRSG/QM/001/20,"±0.0015""",2022-07-15,1,Years,2023-07-15,TRESCAL,SALDM/1087/4/22,QC GAUGE ROOM - J,TRUE,,"0101 (600.2)
1146","SALDM/1074/3/21
01137-0122-00536-CMDD","12.08.2023
26.01.2023",2022-11-15,2023-07-01
135,M-0130B,"SETTING RING
3 Point Internal Micrometer",BOWERS,"0.75003""",342645,QCD/TRSG/PROCEDURE 002 / TRSG/QM/001/20,"±0.0015""",2022-07-15,1,Years,2023-07-15,TRESCAL,SALDM/1087/5/22,QC GAUGE ROOM - J,TRUE,,"0101 (600.2)
1146","SALDM/1074/3/21
01137-0122-00536-CMDD","12.08.2023
26.01.2023",2022-11-15,2023-07-01
136,M-0131,"DIGIMATIC HOLTEST (3 ANVILS)
3 Point Internal Micrometer",BOWERS,"0.375"" - 0.750""",15105 (H) C/W R24467/R29960/R31668,QCD/TRSG/SEAMS 0007 / TRSG/QM/001/20,"±0.0015""",2022-05-21,1,Years,2023-05-21,TRESCAL,SALDM/0784/7/22,M/S GAUGE ROOM K4,TRUE,,RGSET/001`081,SALDM/1043/1/21 & SADLM/1043/2/21,06.08.2023,2022-11-15,2023-05-07
137,M-0131A,"SETTING RING
3 Point Internal Micrometer",BOWERS,0.49985,335022,QCD/TRSG/PROCEDURE 002 / TRSG/QM/001/20,"±0.0015""",2022-05-21,1,Years,2023-05-21,TRESCAL,SALDM/0784/5/22,M/S GAUGE ROOM K4,TRUE,,"0101 (600.2)
1146","SALDM/1074/3/21
01137-0122-00536-CMDD","12.08.2023
26.01.2023",2022-11-15,2023-05-07
138,M-0131B,"SETTING RING
3 Point Internal Micrometer",BOWERS,0.75015,342613,QCD/TRSG/PROCEDURE 002 / TRSG/QM/001/20,"±0.0015""",2022-05-21,1,Years,2023-05-21,TRESCAL,SALDM/0784/4/22,M/S GAUGE ROOM K4,TRUE,,"0101 (600.2)
1146","SALDM/1074/3/21
01137-0122-00536-CMDD","12.08.2023
26.01.2023",2022-11-15,2023-05-07
139,M-0133,"HOLTEST MICROMETER 
(3 Point Internal Micrometer)",BOWERS,"2"" - 4""",34363 C/W S01180/S01181/S01184,QCD/TRSG/SEAMS 0007 / TRSG/QM/001/20,DIN 863-4 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/26/22,M/S GAUGE ROOM K2,TRUE,,RGSET/001~081,SALDM/1043/1/21 & SALDM/1043/2/21,06.08.2023,2022-11-15,2023-04-16
140,M-0133A,"RING GAUGE 
(3 Point Internal Micrometer - Setting Ring) ",BOWERS,2.62511,343484,QCD/TRSG/PROCEDURE 002 / TRSG/QM/001/20,DIN 863-4 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/28/22,M/S GAUGE ROOM K2,TRUE,,"1060
1498","3603480001
CM-208993/10/1","05.07.2022
22.04.2023",2022-11-15,2023-04-16
141,M-0133B,"RING GAUGE 
(3 Point Internal Micrometer - Setting Ring) ",BOWERS,3.25021,342887,QCD/TRSG/PROCEDURE 002 / TRSG/QM/001/20,DIN 863-4 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/31/22,M/S GAUGE ROOM K2,TRUE,,"1060
1498","3603480001
CM-208993/10/1","05.07.2022
22.04.2023",2022-11-15,2023-04-16
142,M-0139,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-1/8"" - 12UNF - 2B",#3,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/48/22,M/S GAUGE ROOM H32,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
143,M-0141,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-3/8"" - 12 UNF - 2B",#2,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/54/22,QC GAUGE ROOM - I,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
144,M-0142,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-3/8"" - 8 UN - 2B",#1,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-04,1,Years,2023-05-04,TRESCAL,SALDM/0675/45/22,M/S GAUGE ROOM H2,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-20
145,M-0144,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-1/2"" - 8 UN - 3B",#1,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/53/22,M/S GAUGE ROOM H18,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
146,M-0148,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-7/8"" - 8 UN - 2B ",#1,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/9/22,M/S GAUGE ROOM H3,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-16
147,M-0150,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"2-1/8"" - 8 UN - 2B",#3,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-04,1,Years,2023-05-04,TRESCAL,SALDM/0675/44/22,M/S GAUGE ROOM H9,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-20
148,M-0153,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"2-1/2"" - 4 UNC - 2B",#2,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/52/22,QC GAUGE ROOM - I,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
